school_code,school_name,program
K00,TKK Contoh,Nasional
K01,TKK 1 PENABUR,Nasional
K02,TKK 2 PENABUR,Nasional
K03,TKK 3 PENABUR,Bilingual
K05,TKK 5 PENABUR,Nasional
K06,TKK 6 PENABUR,Bilingual
K07,TKK 7 PENABUR,Nasional
K08,TKK 8 PENABUR,Nasional
K09,TKK 9 PENABUR,Entrepreneurship
K10,TKK 10 PENABUR,Bilingual
K11,TKK 11 PENABUR,Bilingual
KAS,TKK PENABUR Bekasi,Entrepreneurship
KBJ,TKK PENABUR Bintaro Jaya,Entrepreneurship
KDP,TKK PENABUR Depok,Nasional
KGS,TKK PENABUR Gading Serpong,Bilingual
KHI,TKK PENABUR Harapan Indah,Nasional
KKJ,TKK PENABUR Kota Jababeka,Bilingual
KKM,TKK PENABUR Kota Modern,Nasional
KKW,TKK PENABUR Kota Wisata,Nasional
KSB,TKK PENABUR Summarecon Bekasi,Nasional
KTM1,TKK TIRTAMARTA - BPK PENABUR,Bilingual
KTM2,TK TIRTAMARTA - BPK PENABUR CINERE,Entrepreneurship
